20:25:05,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:06,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:07,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:08,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:09,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:10,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:11,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:12,  cpu usage : 1.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:13,  cpu usage : 2.0,  cpu temp : 55.3,  mem usage : 0.386962106615,   
20:25:14,  cpu usage : 1.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:15,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:16,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:17,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:18,  cpu usage : 2.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:25:19,  cpu usage : 1.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:25:20,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:21,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:22,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:23,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:24,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:26,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:27,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:28,  cpu usage : 1.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:29,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:30,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:31,  cpu usage : 2.0,  cpu temp : 55.3,  mem usage : 0.386962106615,   
20:25:32,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:33,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:34,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:35,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:36,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:37,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:38,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:39,  cpu usage : 3.0,  cpu temp : 53.7,  mem usage : 0.386962106615,   
20:25:40,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:41,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:42,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:43,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:44,  cpu usage : 3.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:45,  cpu usage : 2.0,  cpu temp : 54.8,  mem usage : 0.386962106615,   
20:25:46,  cpu usage : 3.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
20:25:47,  cpu usage : 2.0,  cpu temp : 54.2,  mem usage : 0.386962106615,   
