 5028 mV	  37.99 mV	375.4 mA
 5052 mV	  37.13 mV	343.2 mA
 5056 mV	  33.66 mV	376.8 mA
 5036 mV	  38.93 mV	380.1 mA
 5024 mV	  37.01 mV	371.7 mA
 5040 mV	  37.48 mV	383.9 mA
 5036 mV	  38.56 mV	379.7 mA
 5024 mV	  39.41 mV	349.5 mA
 5032 mV	  38.33 mV	366.7 mA
 5032 mV	  37.53 mV	379.5 mA
 5032 mV	  37.91 mV	406.2 mA
 5032 mV	  37.85 mV	372.2 mA
 5032 mV	  37.00 mV	386.3 mA
 5036 mV	  36.42 mV	374.3 mA
 5056 mV	  36.84 mV	377.7 mA
 5024 mV	  39.69 mV	390.6 mA
 5048 mV	  38.00 mV	378.5 mA
 5036 mV	  38.33 mV	363.8 mA
 5048 mV	  38.84 mV	360.6 mA
 5024 mV	  39.67 mV	366.6 mA
 5048 mV	  35.16 mV	387.8 mA
 5040 mV	  37.75 mV	377.7 mA
 5024 mV	  37.37 mV	392.9 mA
 5044 mV	  36.71 mV	358.7 mA
 5032 mV	  36.63 mV	368.4 mA
 5044 mV	  39.17 mV	354.1 mA
 5040 mV	  37.53 mV	385.3 mA
 5048 mV	  35.78 mV	389.9 mA
 5040 mV	  38.16 mV	373.7 mA
 5024 mV	  38.82 mV	376.1 mA
 5052 mV	  38.00 mV	372.7 mA
 5028 mV	  34.53 mV	396.5 mA
 5044 mV	  36.97 mV	392.8 mA
 5032 mV	  38.17 mV	355.1 mA
 5032 mV	  35.33 mV	384.7 mA
 5028 mV	  36.04 mV	390.6 mA
 5048 mV	  37.13 mV	399.9 mA
 5028 mV	  37.62 mV	374.1 mA
 5040 mV	  36.24 mV	361.2 mA
 5008 mV	  42.64 mV	437.2 mA
 5048 mV	  35.48 mV	353.0 mA
 5044 mV	  36.16 mV	360.1 mA
 5044 mV	  35.84 mV	357.7 mA
 5048 mV	  35.25 mV	352.7 mA
 5044 mV	  36.01 mV	358.8 mA
 5044 mV	  35.92 mV	355.9 mA
 5044 mV	  35.71 mV	356.7 mA
 5044 mV	  35.96 mV	358.4 mA
 5064 mV	  35.34 mV	353.7 mA
 5052 mV	  32.70 mV	313.7 mA
 5068 mV	  34.43 mV	345.4 mA
 5060 mV	  33.20 mV	314.9 mA
 5056 mV	  30.96 mV	347.5 mA
 5068 mV	  30.19 mV	301.7 mA
 5064 mV	  32.40 mV	339.9 mA
