 5044 mV	  35.61 mV	355.7 mA
 5044 mV	  35.09 mV	348.7 mA
 5044 mV	  35.22 mV	351.1 mA
 5044 mV	  36.04 mV	360.2 mA
 5040 mV	  36.22 mV	384.5 mA
 5028 mV	  39.20 mV	368.6 mA
 5036 mV	  38.54 mV	388.5 mA
 5032 mV	  38.28 mV	384.5 mA
 5028 mV	  38.15 mV	381.2 mA
 5024 mV	  39.51 mV	382.8 mA
 5032 mV	  35.46 mV	381.8 mA
 5028 mV	  39.43 mV	385.6 mA
 5024 mV	  38.70 mV	382.1 mA
 5040 mV	  37.46 mV	392.3 mA
 5044 mV	  38.66 mV	383.0 mA
 5012 mV	  42.09 mV	415.2 mA
 5036 mV	  38.56 mV	372.3 mA
 5032 mV	  38.21 mV	363.4 mA
 5028 mV	  35.74 mV	379.9 mA
 5020 mV	  37.25 mV	376.3 mA
 5028 mV	  36.44 mV	381.1 mA
 5032 mV	  37.97 mV	368.5 mA
 5020 mV	  36.82 mV	368.9 mA
 5036 mV	  37.71 mV	386.6 mA
 5028 mV	  38.55 mV	384.6 mA
 5028 mV	  38.41 mV	379.0 mA
 5012 mV	  48.73 mV	442.6 mA
 5036 mV	  37.90 mV	347.5 mA
 5020 mV	  38.68 mV	381.5 mA
 5032 mV	  39.12 mV	388.3 mA
 5044 mV	  35.63 mV	354.9 mA
 5024 mV	  39.11 mV	347.6 mA
 5036 mV	  36.38 mV	371.3 mA
 5052 mV	  34.57 mV	378.3 mA
 5032 mV	  34.29 mV	379.9 mA
 5032 mV	  34.96 mV	318.9 mA
 5056 mV	  35.37 mV	361.1 mA
 5072 mV	  36.54 mV	332.0 mA
 5028 mV	  38.47 mV	341.0 mA
 5060 mV	  31.80 mV	359.2 mA
 5040 mV	  36.98 mV	368.1 mA
 5032 mV	  37.83 mV	377.4 mA
 5040 mV	  31.82 mV	351.9 mA
 5044 mV	  35.46 mV	359.5 mA
 5052 mV	  31.98 mV	334.8 mA
 5068 mV	  34.49 mV	346.1 mA
 5068 mV	  33.10 mV	357.2 mA
 5064 mV	  33.67 mV	320.4 mA
 5056 mV	  33.14 mV	319.5 mA
 5048 mV	  34.60 mV	315.7 mA
 5068 mV	  31.96 mV	344.4 mA
 5048 mV	  33.85 mV	338.7 mA
 5056 mV	  33.24 mV	303.7 mA
 5048 mV	  34.73 mV	362.0 mA
 5044 mV	  36.19 mV	309.6 mA
 5020 mV	  35.42 mV	303.2 mA
 5068 mV	  29.96 mV	327.0 mA
 5048 mV	  34.67 mV	363.8 mA
 5052 mV	  33.59 mV	328.4 mA
 5064 mV	  35.26 mV	321.8 mA
 5056 mV	  37.46 mV	350.2 mA
 5052 mV	  33.30 mV	317.7 mA
 5044 mV	  31.43 mV	320.1 mA
 5060 mV	  33.39 mV	339.2 mA
 5068 mV	  30.48 mV	304.1 mA
 5072 mV	  30.21 mV	300.2 mA
 5072 mV	  30.21 mV	301.7 mA
 5064 mV	  31.22 mV	310.7 mA
 5068 mV	  30.32 mV	302.5 mA
 5072 mV	  30.01 mV	306.2 mA
 5072 mV	  30.45 mV	304.5 mA
 5072 mV	  35.51 mV	350.2 mA
